-115.30748270439045	-398.4364678650227
-115.21001182665765	-398.4494223547719
-115.12240626712966	-398.49789697591785
-115.05798685433291	-398.4469544581664
-115.03556942132084	-398.3495967756714
-115.011210489538	-398.2524544349512
-114.978321645643	-398.158009371164
-114.93714637732195	-398.06690939324534
-114.89022422197006	-397.9785616093456
-114.83921609832717	-397.8924869664637
-114.78524098466305	-397.8082424702519
-114.72916845958517	-397.72544386192095
-114.67169573282918	-397.6435292507269
-114.61388521528653	-397.5619486119746
-114.55791953955725	-397.4787706597425
-114.52156554679648	-397.3869775954693
-114.50308439353381	-397.289183959844
-114.47157659430817	-397.19453086998726
-114.43386016271859	-397.1017910645857
-114.39337215433216	-397.010085642323
-114.35163327059819	-396.9188572986572
-114.30913094638781	-396.8281142419765
-114.26571149398998	-396.7377074237787
-114.2217536282464	-396.6576360500654
-114.22122322072353	-396.6370468498192
-114.18754981017908	-396.54264966815674
-114.15172356889032	-396.4491097050482
-114.11286107607056	-396.35676936429775
-114.05810436932184	-396.28942846632543
-113.99652573925707	-396.2959382418711
-113.94749300334297	-396.20861215956035
-113.90369521539249	-396.11825184737233
-113.86246963265356	-396.02669720546874
-113.82358097348472	-395.93409321861174
-113.78949656214932	-395.84008623216386
-113.77137617567729	-395.74313502659993
-113.73869479189591	-395.6482542768362
-113.69982954639237	-395.5557198852811
-113.64890860340024	-395.5007879992084
-113.58794552231532	-395.42389044605943
-113.53701151620095	-395.33742483309356
-113.48825537070742	-395.2498030834473
-113.44090012584742	-395.1613848143649
-113.3949436300409	-395.072296827974
-113.35090238709343	-394.9820683272441
-113.31668141758519	-394.8890591972954
-113.33220885164519	-394.83445331755917
-113.28608305915624	-394.7460247818534
-113.23628995061947	-394.6592529299949
-113.18408510903593	-394.5737595691694
-113.12974493411338	-394.4897654954557
-113.07294262695973	-394.4074030698456
-113.01296645615454	-394.3272090522266
-112.9487182066852	-394.25061882411893
-112.87945793805983	-394.178487962628
-112.8056612618852	-394.1110697043914
-112.72878435927325	-394.0471747999408
-112.65366316679595	-393.9814190104538
-112.60136547130601	-393.8976743375423
-112.5959300556381	-393.79813182775973
-112.59317575648018	-393.6982404170039
-112.56909628678193	-393.60147349949864
-112.5284851681668	-393.51008926024133
-112.4808651579982	-393.4220698109777
-112.43218603291766	-393.334503002456
-112.40515939590034	-393.239525445679
-112.36027739030864	-393.14993127058216
-112.31057552195297	-393.06326352774755
-112.26041933116025	-392.9766574326503
-112.21111639076078	-392.8896730729534
-112.16276015424336	-392.80209058755065
-112.11528053093522	-392.71401974485235
-112.06871242938999	-392.6255463477396
-112.02309729403785	-392.5365072977372
-111.97880504247401	-392.446883560307
-111.936713573769	-392.35602763201695
-111.91219835782522	-392.2613366047076
-111.8744913525148	-392.1692727475498
-111.82714309792611	-392.08189753582917
-111.77800027162168	-391.9943718145007
-111.72846085146968	-391.90707340438627
-111.67885708534185	-391.8198315960823
-111.6297332518265	-391.73295127083946
-111.58103202659002	-391.64561919259813
-111.53360245265218	-391.5579126047988
-111.48822993776241	-391.4688252099268
-111.4454104030446	-391.37846451120186
-111.4047905695631	-391.2870182895774
-111.36713232163318	-391.1942977732067
-111.33820747987845	-391.0988313287565
-111.30304251574266	-391.00580081032103
-111.25489133854241	-390.91826306715694
-111.20472900322522	-390.83169542600314
-111.15410785528836	-390.74537920508567
-111.10367324894055	-390.6589553922878
-111.05393335632985	-390.5721026394973
-111.00552507981996	-390.4846185296655
-110.9587742634326	-390.3962545826736
-110.91407577742079	-390.3067317267561
-110.87238985851542	-390.21589491350716
-110.83578564767336	-390.1227601216829
-110.81003958691382	-390.0263363561495
-110.7781335707882	-389.931984870392
-110.72562283473087	-389.84699076146126
-110.65756662669247	-389.77408962291327
-110.57689135187468	-389.7166599543515
-110.54675973967703	-389.62164162244716
-110.51836930981996	-389.52574707952573
-110.48409736395853	-389.43182103947663
-110.44376237178933	-389.340350593963
-110.39715696575837	-389.251896071755
-110.34558799857463	-389.1662128879745
-110.29098020971362	-389.08243356627503
-110.23477623848471	-388.9997197140949
-110.17812648399129	-388.91730884041544
-110.12203781668505	-388.83451235467567
-110.06747608187943	-388.75070342146995
-110.01544235265806	-388.665309612974
-109.96699255245198	-388.57784652561577
-109.92223923201814	-388.4884322110307
-109.88016219108465	-388.397744404088
-109.83959932105802	-388.3063617532787
-109.79964355614123	-388.2146597803613
-109.75995109787152	-388.1228677592036
-109.7202343594805	-388.03108039148987
-109.6802339908894	-387.9394298184284
-109.63965487409382	-387.84800952229904
-109.59818113876882	-387.7569885837798
-109.55541868185378	-387.6665908210757
-109.51080634750645	-387.5770882574778
-109.46351196404983	-387.48894249638727
-109.41225036264288	-387.4031861785227
-109.35433647422356	-387.3217532760562
-109.28628893774743	-387.24856269997184
-109.21275056389987	-387.1808706771866
-109.14349196735381	-387.1088886606027
-109.0830620548827	-387.02944952524985
-109.02996680942525	-386.94459226781316
-108.98148771914524	-386.8570360923096
-108.93644643680774	-386.76764623863096
-108.8948089444057	-386.676633851518
-108.8579933513357	-386.58366857297483
-108.83747135389795	-386.4864315319187
-108.82193653945254	-386.39074253152603
-108.77057036610648	-386.30492644481404
-108.71627997175092	-386.22080403218996
-108.66193386302874	-386.1371215498371
-108.60776915235513	-386.0528202984439
-108.55431261712236	-385.96825150796803
-108.50141059816814	-385.8834203316399
-108.44885026788724	-385.79828323600515
-108.39657861654598	-385.71289446379507
-108.34460739687407	-385.6273169569581
-108.29302637035318	-385.54163857708414
-108.24175737423151	-385.45541470215557
-108.20177608801191	-385.3774237492899
-108.19939589056405	-385.2974609595987
-108.16705379053649	-385.2028118034266
-108.12874120792034	-385.10997082961933
-108.0789356971858	-385.0236934460954
-107.99508396724953	-384.98021813530147
-107.96138733657313	-384.918583983344
-107.95302203984745	-384.8192159390308
-107.92797085695629	-384.7223833042055
-107.8917945326011	-384.6290840554152
-107.84974128465458	-384.5385150331776
-107.80379350646554	-384.4495550382947
-107.75524983529951	-384.36216984320504
-107.70464437358727	-384.2758840534684
-107.65241650146761	-384.190578537815
-107.5988341005234	-384.10612906978275
-107.54402276668011	-384.02237431063384
-107.48823821727757	-383.93948930156273
-107.43136075792779	-383.85722882747365
-107.37345908126152	-383.7756278972826
-107.3149647780655	-383.6945888859575
-107.25696418812315	-383.61315845288175
-107.20228948977372	-383.5294955856269
-107.15464038602127	-383.4416847571229
-107.11443730452675	-383.35017420008774
-107.0773776667026	-383.2572964876124
-107.04028698879627	-383.16447204382786
-107.00166975365359	-383.0722146056649
-106.96098998824449	-382.9808915605707
-106.91808855571794	-382.8906037253798
-106.87295704351668	-382.8012946444789
-106.82579038164826	-382.7131045902436
-106.77674965937668	-382.6260108940136
-106.72603396891714	-382.5397524507052
-106.67419023558192	-382.454176616747
-106.62158654816491	-382.3691256443914
-106.56843341219277	-382.2843968885904
-106.51497651311406	-382.19990973783325
-106.4612955224066	-382.1152392247431
-106.40817174351191	-382.03061781792326
-106.35749761961651	-381.9446335163901
-106.36581709121579	-381.8591083968555
-106.33489199510072	-381.76387971847373
-106.29285260970441	-381.67294189018025
-106.24101124577273	-381.58743412686033
-106.1801622841077	-381.50804714503437
-106.11314285943766	-381.43379540236486
-106.04187568143561	-381.36347751823087
